DEPT,ECGR,RD,RHOB,TNPH,DTCO,DTSM
4808,42.57709885,23.45470047,2.529599905,0.205261007,58.96349716,100.8317032
4809.5,42.44639969,21.49309921,2.603300095,0.159697995,64.12490082,111.5353012
4810,48.21929932,19.83720017,2.635400057,0.169542015,70.32029724,111.3699036
4810.5,57.78839874,24.02960014,2.601399899,0.164004996,61.98519898,110.9417038
4811,56.92110062,30.59029961,2.601599932,0.190524012,60.7539978,102.6036987
4811.5,59.53250122,27.37280083,2.677900076,0.204022005,60.39969635,104.683197
4812,70.20809937,18.80500031,2.596299887,0.194302991,64.59429932,107.9357987
4812.5,56.92470169,14.54440022,2.610300064,0.201165006,62.62260056,109.6558991
4813,58.62450028,15.10770035,2.634799957,0.202535987,66.06150055,116.4161911
4813.5,62.57300186,12.2105999,2.609400034,0.206130996,64.26059723,115.8072968
4814,65.99009705,13.49230003,2.635299921,0.235041007,65.54290009,115.1775971
4814.5,58.06809998,13.59869957,2.647900105,0.217463002,66.69239807,115.5401993
4815,53.35739899,13.34799957,2.615200043,0.201630995,64.30419922,115.7337036
4815.5,75.65329742,15.69849968,2.615400076,0.243037999,68.58429718,119.8090973
4816,71.92970276,12.31890011,2.747200012,0.231860995,61.80820084,119.3465958
4816.5,54.03010178,22.90579987,2.618799686,0.234748006,67.95200348,118.1779022
4817,77.86229706,14.91380024,2.693200111,0.259164989,68.28620148,123.5790024
4817.5,52.55199814,12.21759987,2.638200045,0.228455007,65.77580261,123.9932022
4818,77.83229828,10.04349995,2.660000086,0.261774987,70.03790283,123.8952026
4818.5,71.90170288,9.678500176,2.632600069,0.284543991,68.00450134,125.7381973
4819,79.08550263,9.334500313,2.645200014,0.275628001,68.38269806,122.6240997
4819.5,71.9016037,7.610000134,2.627199888,0.256543011,70.89189911,133.2812958
4820,71.27310181,6.985799789,2.655800104,0.245681003,71.07689667,131.7696075
4820.5,68.98539734,8.460900307,2.658499956,0.240969002,67.42410278,127.8377075
4821,70.96829987,9.987999916,2.631799936,0.252225995,65.84470367,122.2220993
4821.5,76.5664978,10.53829956,2.644999981,0.253399998,66.92849731,122.5755005
4822,76.73220062,9.834799767,2.628499985,0.276883006,66.98169708,124.6368942
4822.5,66.59739685,8.678099632,2.768100023,0.257054001,69.96040344,130.6914978
4823,74.56539917,7.147099972,2.609899998,0.258581013,69.52950287,127.9147034
4823.5,88.35250092,6.329999924,2.644299984,0.262881994,66.79160309,126.4639969
4824,64.86859894,7.425899983,2.622600079,0.257164002,68.17369843,128.4311981
4824.5,67.61689758,9.622400284,2.664999962,0.24145399,65.71520233,120.6575012
4825,65.0266037,10.87279987,2.625799894,0.256548017,66.19709778,124.032402
4825.5,79.59929657,9.539500237,2.644500017,0.217032,66.65670013,122.973999
4826,76.44519806,15.46039963,2.570600033,0.223589003,64.65119934,118.5070038
4826.5,80.4815979,12.72119999,2.648699999,0.170926005,67.52529907,118.9861984
4827,77.65619659,13.17380047,2.655499935,0.099511005,67.03220367,123.4669037
