DEPT,ECGR,RD,TNPH,RHOB,DTCO,DTSM
4784,64.83039856,12.38560009,0.120551996,2.707400084,62.76129913,102.0354919
4784.5,78.46589661,15.60060024,0.100428,2.680999994,61.86969757,100.5216904
4785,67.80919647,13.87979984,0.113006003,2.691999912,64.06510162,104.0917969
4785.5,67.83390045,17.13730049,0.104771003,2.693799973,63.48999786,103.4869003
4786,82.17379761,12.67440033,0.116600998,2.659499884,62.55189896,100.9208984
4786.5,63.84790039,13.30860043,0.119557999,2.681400061,62.36899948,99.73169708
4787,82.19329834,14.87919998,0.098679997,2.711699963,60.50970078,99.59369659
4787.5,63.30360031,18.53070068,0.101976998,2.699399948,61.68989945,100.4151993
4788,74.4437027,16.09410095,0.101192996,2.708600044,60.96730042,98.83760071
4788.5,75.16670227,22.78700066,0.100409001,2.717700005,60.60399628,98.7480011
4789,68.15070343,15.75249958,0.103035003,2.725300074,62.54550171,101.0410004
4789.5,87.68199921,20.31539917,0.093938001,2.710700035,62.64920044,101.7847977
4790,69.64849854,15.55959988,0.106654994,2.703900099,62.02210236,101.4687958
4790.5,78.29489899,14.00629997,0.101884,2.672600031,63.78699875,103.7630997
4791,65.42620087,14.16040039,0.105415002,2.706099987,64.11940002,104.5706101
4791.5,68.50969696,13.24660015,0.110474996,2.663300037,62.92819977,103.5854034
4792,67.48329926,11.66069984,0.11208,2.694299936,63.14759827,104.0616913
4792.5,83.52380371,12.59049988,0.124541,2.708800077,62.32570267,101.7164993
4793,73.85520172,11.41730022,0.134002999,2.725899935,61.01599884,99.65390015
4793.5,63.56029892,11.37709999,0.118957005,2.706700087,62.23040009,103.233902
4794,70.33010101,11.92549992,0.106694005,2.727400065,64.09210205,106.7090073
4794.5,75.73529816,12.79339981,0.131615996,2.737900019,63.81729889,105.8759003
4795,80.16790009,10.31709957,0.152313992,2.713900089,63.89550018,106.3181
4795.5,75.76889801,10.69120026,0.143116996,2.725300074,64.31040192,106.4585037
4796,78.30480194,9.92650032,0.147707999,2.728499889,61.91960144,101.4577026
4796.5,74.17549896,9.932299614,0.145236,2.716700077,62.91360474,102.8730011
4797,78.36759949,10.98320007,0.121850997,2.721600056,62.53779984,102.6998978
4797.5,77.22049713,12.27449989,0.124353997,2.722700119,62.34169769,102.8960037
4798,87.74629974,11.55580044,0.126856998,2.723799944,62.25189972,101.3729019
4798.5,74.17269898,13.08390045,0.129163995,2.738600016,61.67490006,101.8225098
4799,69.8852005,11.77910042,0.113189004,2.721999884,62.17589951,102.5815964
4799.5,73.44339752,13.09560013,0.117261,2.725899935,63.17839813,103.6737976
4800,69.49590302,14.2784996,0.126050994,2.747999907,61.70869827,101.9000015
4800.5,76.29239655,10.60709953,0.123515993,2.734999895,61.71669769,100.9644013
4801,76.05059815,11.48120022,0.121951997,2.723400116,61.89580154,101.5170975
4801.5,66.37850189,15.56029987,0.114363,2.724699974,62.98770142,103.5262909
4802,64.53510284,11.56270027,0.115361005,2.728699923,62.84830093,103.9952927
4802.5,71.07150269,11.40639973,0.131526008,2.722800016,62.48070145,102.2832031
4803,59.63999939,10.65530014,0.139718995,2.728199959,63.8443985,103.8595047
4803.5,80.09459686,11.04749966,0.123558998,2.734100103,64.53469849,104.7979889
4804,73.05509949,12.65530014,0.123314999,2.699899912,61.36930084,99.63220215
4804.5,87.1713028,10.45979977,0.147534996,2.691999912,61.57830048,103.2898102
4805,43.9980011,11.0394001,0.136550993,2.722800016,62.92279816,103.2254028
4805.5,53.80059815,21.14889908,0.093186997,2.664599896,62.20530319,101.311203
4806,63.16790009,15.61340046,0.132151008,2.733200312,64.50550079,105.1468887
4806.5,66.18470001,18.39940071,0.12049,2.697700024,67.15200043,115.6786957
4807,108.2554016,13.25839996,0.151023001,2.701600075,63.5746994,107.1492004
