DEPT,RHOB,TNPH,ECGR,RD,DTCO,DTSM
4040,2.54399991,0.285762012,86.15249634,0.773100019,101.8919067,230.5711975
4040.5,2.505199909,0.300711989,90.97250366,0.717499971,105.7329025,241.5256043
4041,2.51609993,0.301600009,94.68170166,0.677900016,104.988205,232.338501
4041.5,2.500299931,0.292001993,92.85189819,0.727299988,102.9486923,231.3117065
4042,2.493400097,0.30290401,103.6460037,0.582099974,102.3478012,227.4985046
4042.5,2.472500086,0.290214002,100.9881973,0.644999981,102.2801971,225.460495
4043,2.497800112,0.305210978,101.7460022,0.6796,103.0010986,227.8217926
4043.5,2.509000063,0.293976992,96.8769989,0.656300008,103.2251968,226.5756989
4044,2.515399933,0.282698989,96.48930359,0.698899984,101.8585968,223.8733978
4044.5,2.504699945,0.284745008,94.82820129,0.666400015,102.3930969,221.5428009
4045,2.488100052,0.283998996,97.72470093,0.621399999,102.6871033,223.4682007
4045.5,2.499300003,0.279013991,93.34940338,0.675400019,102.7475967,225.0960999
4046,2.489099979,0.278964996,95.10790253,0.648599982,102.222702,217.0883026
4046.5,2.485800028,0.281715006,93.72429657,0.685500026,101.0644989,216.9368134
4047,2.488800049,0.285277009,97.91439819,0.626100004,101.4709015,214.2476959
4047.5,2.495800018,0.272688985,99.40599823,0.700999975,102.2166061,215.873703
4048,2.491400003,0.287640005,96.2559967,0.707000017,100.615799,213.0971069
4048.5,2.491100073,0.287818998,98.18250275,0.724600017,99.92649841,203.0695953
4049,2.490499973,0.258928001,90.49829865,0.704900026,98.95789337,205.2642059
4049.5,2.494800091,0.272278011,92.10479736,0.662599981,99.12039948,203.4284973
4050,2.499300003,0.274913013,93.46530151,0.748899996,101.2874985,216.1139984
4050.5,2.487999916,0.282503992,90.39350128,0.790600002,101.3261032,218.3278961
4051,2.482000113,0.275279015,98.75710297,0.821799994,100.631897,214.878479
4051.5,2.480099917,0.277614981,99.53730011,0.824299991,96.7736969,203.8955994
4052,2.484100103,0.261455983,105.2418976,0.747200012,94.97840118,196.1403961
4052.5,2.485899925,0.269383997,100.527298,0.695800006,100.1648026,210.050293
4053,2.550499916,0.249476001,95.41870117,0.714999974,99.72199249,211.8499146
4053.5,2.492399931,0.247779012,102.3187027,0.747399986,102.2734985,221.5157929
4054,2.506099939,0.255888999,90.25260162,0.890699983,102.4720001,221.364502
4054.5,2.504499912,0.273072004,85.70739746,0.937600017,102.0547028,218.9622803
4055,2.492300034,0.275384992,95.0687027,0.725099981,99.96559906,210.4465942
4055.5,2.479300022,0.272588015,96.5684967,0.739400029,96.86019898,192.9452972
4056,2.490799904,0.257346988,101.4168015,0.676800013,97.84349823,199.5605927
4056.5,2.491699934,0.246952996,100.6306,0.717999995,101.2341995,212.9212036
4057,2.498300076,0.261900991,92.73999786,0.773999989,99.05789948,214.9754028
4057.5,2.49909997,0.260105997,89.02680206,0.93690002,101.5800018,219.8636932
4058,2.585299969,0.270310015,89.68509674,0.932500005,101.4589996,221.673996
4058.5,2.509299994,0.285843998,92.8891983,0.78640002,101.2974091,220.1213989
4059,2.501699925,0.282029986,98.04479981,0.771600008,102.1332932,220.5471039
4059.5,2.499700069,0.263404012,93.25319672,0.716000021,100.5348969,216.1802063
4060,2.492899895,0.263540983,99.98609924,0.716300011,98.93309021,210.8955994
4060.5,2.508399963,0.27522698,95.06349945,0.694700003,99.15709686,210.0861816
4061,2.514400005,0.244431987,102.6732025,0.730000019,98.73660278,207.7028961
4061.5,2.50819993,0.27490899,102.2090988,0.732299984,97.05619812,205.7174072
4062,2.512700081,0.250037998,93.42680359,0.788699985,98.38790131,206.4916992
4062.5,2.527299881,0.270478994,95.4552002,0.825699985,99.43070221,212.6656952
4063,2.521100044,0.278834999,91.48529816,0.809400022,96.98829651,205.3618927
4063.5,2.520200014,0.262730986,86.40879822,0.871900022,95.936203,197.0001068
4064,2.548000097,0.262649,94.57520294,0.847800016,98.92529297,203.2127075
