DEPT,ECGR,RD,DTCO,DTSM,RHOB,TNPH
4706,87.10600281,2.429399967,63.50979996,125.8618012,2.70449996,0.185849994
4706.5,114.0807037,4.481599808,53.43849945,94.46029663,2.6881001,0.198785991
4707,132.6038971,7.799900055,56.312603,104.6554031,2.587300062,0.094618999
4707.5,76.12290192,9.861200333,60.56669998,112.198494,2.5631001,0.071419001
4708,81.05149841,7.311500073,70.8030014,120.3024979,2.584800005,0.173160002
4708.5,127.5966034,4.337500095,75.04599762,122.4664002,2.477200031,0.134398997
4709,139.8020935,5.845799923,62.88840103,103.8286896,2.474400044,0.262040019
4709.5,116.691597,16.51169968,63.05480194,103.7837982,2.667500019,0.160774991
4710,125.3780975,19.84830093,69.43720245,112.2987976,2.693100214,0.155726001
4710.5,126.3054962,14.14120007,62.96400452,112.0964966,2.698699951,0.119599998
4711,138.8235016,18.1923008,62.97589874,104.273201,2.664400101,0.121084005
4711.5,109.9940033,20.12000084,63.42510223,104.7284012,2.681200028,0.226193994
4712,140.9685059,21.54409981,64.5951004,111.879097,2.633500099,0.206613004
4712.5,126.4981995,17.19960022,63.83679962,114.7385025,2.857599735,0.188924015
4713,114.1675034,19.65250015,60.40919876,104.3630981,2.877599955,0.263593018
4713.5,111.4095001,22.66419983,59.31720352,104.3572006,2.906800032,0.344781011
4714,31.49620056,29.84000015,61.26280212,101.688797,2.700200081,0.193286985
4714.5,35.55899811,19.80529976,64.24649811,97.99669647,2.538800001,0.190599993
4715,32.13610077,29.34880066,57.10520172,91.76709747,2.521699905,0.135712996
4715.5,31.36429977,62.38349915,62.49439621,103.8391037,2.484699965,0.121091992
4716,31.74099922,102.4934006,61.33420181,113.4048004,2.459500074,0.125337005
4716.5,47.3757019,61.56389999,59.38380051,86.03910065,2.491100073,0.128374994
4717,29.64509964,73.39569855,61.9353981,112.3364029,2.498600006,0.108823992
4717.5,34.29339981,34.00149918,69.48690033,112.8852997,2.500299931,0.087236993
4718,70.63610077,13.61060047,68.00270081,120.0698013,2.581099987,0.151759997
4718.5,69.36769867,18.32530022,72.51080322,105.4048996,2.528100014,0.157117993
4719,82.21859741,30.4715004,68.41100311,113.8976975,2.530800104,0.135537997
4719.5,72.54100037,41.90060043,66.39610291,104.153801,2.517299891,0.188462004
4720,56.19250107,76.06469727,61.34629822,93.81680298,2.556099892,0.112504996
4720.5,49.7643013,85.19139862,61.09469605,112.0859985,2.546999931,0.106815003
4721,66.1065979,61.86750031,64.84059906,103.9147034,2.572900057,0.125198007
4721.5,61.14799881,51.53929901,70.92289734,113.9431992,2.535099983,0.139566004
4722,53.08119965,43.38570023,69.20210266,104.8136978,2.513000011,0.130115002
4722.5,58.2663002,36.83720017,71.48819733,112.2005997,2.562700033,0.112946995
4723,61.36750031,28.66320038,66.27110291,112.7341003,2.687200069,0.128541008
4723.5,83.96749878,17.33040047,62.12979889,104.1920013,2.655100107,0.140676007
4724,100.729599,15.1196003,59.47409439,69.26180267,2.611299992,0.181107998
4724.5,62.66880035,23.04540062,58.97299957,103.0819016,2.483200312,0.15586701
4725,54.61330032,48.33259964,62.27669907,86.23529816,2.504199982,0.108957008
4725.5,63.17490006,99.98989868,62.95729828,95.83699799,2.505300045,0.113008
4726,61.60990143,71.5483017,63.50929642,90.09190369,2.515000105,0.126445994
4726.5,52.31779862,69.93070221,60.4280014,98.21920013,2.485100031,0.114122003
4727,53.0401001,90.39820099,60.85829926,120.0354996,2.349900007,0.122354001
4727.5,48.96070099,103.8756027,56.8105011,105.1144104,2.492199898,0.119199
4728,48.49950028,190.6665039,68.92639923,125.2093964,2.443100214,0.137730002
4728.5,34.85689926,505.3125916,63.165905,97.94229889,2.453700066,0.138385996
4729,42.35469818,375.978302,68.33049774,101.4695969,2.442399979,0.095441997
4729.5,45.9056015,128.8609924,65.66840363,105.0117035,2.538399935,0.105599001
4730,44.57550049,63.66659927,66.96700287,111.0411987,2.400599957,0.136480004
4730.5,18.62969971,100.990799,69.01450348,96.70330048,2.468899965,0.134642005
4731,12.28950024,274.9104919,57.48680115,89.76580048,2.373600006,0.091812
4731.5,15.82719994,187.0350037,64.3565979,105.4330978,2.47300005,0.077460997
4732,26.06480026,56.11869812,65.08860016,128.0776062,2.531800032,0.117018007
4732.5,28.16670036,19.63050079,80.27960205,151.1316071,2.663399935,0.183521003
4733,19.56439972,4.629899979,76.8381958,146.9665985,2.916500092,0.456869006
4733.5,24.86759949,4.11619997,74.18280029,147.7987061,2.897000074,0.526358962
4734,20.3470993,4.293300152,72.26999664,140.7084961,2.84800005,0.516196013
4734.5,19.36440086,4.006400108,76.90880585,149.7102051,2.739000082,0.510879993
4735,22.24900055,3.22420001,77.94330597,149.1040955,2.625799894,0.509045959
4735.5,23.42860031,2.677000046,72.69419861,142.5960999,2.703999996,0.504163027
4736,24.35810089,2.59739995,71.44719696,142.4597015,2.825000048,0.493764013
4736.5,27.4734993,2.425699949,84.27919769,163.2478943,2.849900007,0.476624996
4737,33.55870056,2.033299923,84.40599823,166.5670929,2.830199957,0.501357973
4737.5,38.57009888,1.921499968,86.4240036,165.7662964,2.713099957,0.461859018
4738,40.22660065,1.90929997,82.47789002,155.9810028,2.738600016,0.473324001
4738.5,42.71889877,2.019099951,82.05599976,161.2046051,2.778899908,0.402629018
4739,40.59899902,2.752199888,78.79309082,141.2021942,2.701100111,0.350511015
4739.5,20.86300087,8.322699547,56.81240082,111.8443985,2.743299961,0.276427001
4740,11.6505003,37.82580185,52.77209854,104.1043015,2.734699965,0.195358008
4740.5,9.656999588,40.99909973,58.50900269,104.0133896,2.738899946,0.199932993
4741,21.54899979,28.89170075,57.16220093,104.3146057,2.772699833,0.228087008
4741.5,17.56369972,15.82120037,58.88080216,106.2916031,2.743700028,0.255066007
4742,11.54609966,14.33199978,59.7519989,111.530098,2.717600107,0.271026015
4742.5,21.99270058,14.88160038,60.38740158,106.6727982,2.665999889,0.230874002
4743,11.98040009,22.93580055,60.34619904,110.9143982,2.709000111,0.245841011
4743.5,10.22089958,64.98480225,60.36530304,111.4738007,2.813699961,0.208244994
4744,11.29489994,97.38950348,60.43440247,112.6079025,2.763000011,0.216023013
4744.5,14.36050034,91.35590363,62.75590134,119.308403,2.680500031,0.233752996
4745,13.4449997,54.87730026,69.25270081,126.0279999,2.619199991,0.273763001
4745.5,14.15149975,39.19689941,74.66950226,131.1226044,2.626899958,0.294748008
