DEPT,DTCO,DTSM,ECGR,Fac,PHIE_fin,RD,RHOB,SWE_INDO,TNPH,VSH_FINAL
4706,63.50979996,125.8618012,87.10600281,0,0,2.429399967,2.70449996,1,0.185849994,0.6276351
4706.5,53.43849945,94.46029663,114.0807037,0,0,4.481599808,2.6881001,1,0.198785991,0.7390236
4707,56.312603,104.6554031,132.6038971,0,0,7.799900055,2.587300062,1,0.094618999,0.6052606
4707.5,60.56669998,112.198494,76.12290192,0,0.019922316,9.861200333,2.5631001,1,0.071419001,0.3412889
4708,70.8030014,120.3024979,81.05149841,0,0,7.311500073,2.584800005,1,0.173160002,0.5131819
4708.5,75.04599762,122.4664002,127.5966034,0,0,4.337500095,2.477200031,1,0.134398997,0.5727275
4709,62.88840103,103.8286896,139.8020935,0,0,5.845799923,2.474400044,1,0.262040019,0.7930408
4709.5,63.05480194,103.7837982,116.691597,0,0,16.51169968,2.667500019,1,0.160774991,0.6842294
4710,69.43720245,112.2987976,125.3780975,0,0,19.84830093,2.693100214,1,0.155726001,0.7264877
4710.5,62.96400452,112.0964966,126.3054962,0,0,14.14120007,2.698699951,1,0.119599998,0.6839485
4711,62.97589874,104.273201,138.8235016,0,0,18.1923008,2.664400101,1,0.121084005,0.7129949
4711.5,63.42510223,104.7284012,109.9940033,0,0,20.12000084,2.681200028,1,0.226193994,0.7566513
4712,64.5951004,111.879097,140.9685059,0,0,21.54409981,2.633500099,1,0.206613004,0.8158057
4712.5,63.83679962,114.7385025,126.4981995,0,0,17.19960022,2.857599735,1,0.188924015,0.8777
4713,60.40919876,104.3630981,114.1675034,0,0,19.65250015,2.877599955,1,0.263593018,0.9006442
4713.5,59.31720352,104.3572006,111.4095001,0,0,22.66419983,2.906800032,1,0.344781011,0.8900365
4714,61.26280212,101.688797,31.49620056,0,0.030335039,29.84000015,2.700200081,0.8310781,0.193286985,0.4213035
4714.5,64.24649811,97.99669647,35.55899811,1,0.084313169,19.80529976,2.538800001,0.5795366,0.190599993,0.3337894
4715,57.10520172,91.76709747,32.13610077,1,0.07894668,29.34880066,2.521699905,0.5407504,0.135712996,0.2347949
4715.5,62.49439621,103.8391037,31.36429977,1,0.089699544,62.38349915,2.484699965,0.345365,0.121091992,0.1889705
4716,61.33420181,113.4048004,31.74099922,1,0.099977538,102.4934006,2.459500074,0.2465469,0.125337005,0.1807144
4716.5,59.38380051,86.03910065,47.3757019,1,0.07894326,61.56389999,2.491100073,0.364536,0.128374994,0.2644872
4717,61.9353981,112.3364029,29.64509964,1,0.081827447,73.39569855,2.498600006,0.3488179,0.108823992,0.1740945
4717.5,69.48690033,112.8852997,34.29339981,1,0.074320942,34.00149918,2.500299931,0.5620348,0.087236993,0.1634076
4718,68.00270081,120.0698013,70.63610077,0,0.037703842,13.61060047,2.581099987,1,0.151759997,0.4414868
4718.5,72.51080322,105.4048996,69.36769867,0,0.059124365,18.32530022,2.528100014,0.7312779,0.157117993,0.4112999
4719,68.41100311,113.8976975,82.21859741,0,0.044772334,30.4715004,2.530800104,0.6604388,0.135537997,0.4327874
4719.5,66.39610291,104.153801,72.54100037,0,0.068983719,41.90060043,2.517299891,0.4211408,0.188462004,0.4598467
4720,61.34629822,93.81680298,56.19250107,1,0.045624025,76.06469727,2.556099892,0.4656051,0.112504996,0.3166806
4720.5,61.09469605,112.0859985,49.7643013,1,0.051363453,85.19139862,2.546999931,0.4231876,0.106815003,0.278544
4721,64.84059906,103.9147034,66.1065979,0,0.036762796,61.86750031,2.572900057,0.5461561,0.125198007,0.3825759
4721.5,70.92289734,113.9431992,61.14799881,1,0.057183616,51.53929901,2.535099983,0.4660141,0.139566004,0.3599217
4722,69.20210266,104.8136978,53.08119965,1,0.067820616,43.38570023,2.513000011,0.4732813,0.130115002,0.302313
4722.5,71.48819733,112.2005997,58.2663002,1,0.042085003,36.83720017,2.562700033,0.6945765,0.112946995,0.3293301
4723,66.27110291,112.7341003,61.36750031,0,0.001239225,28.66320038,2.687200069,1,0.128541008,0.4393658
4723.5,62.12979889,104.1920013,83.96749878,0,0,17.33040047,2.655100107,1,0.140676007,0.5231554
4724,59.47409439,69.26180267,100.729599,0,0,15.1196003,2.611299992,1,0.181107998,0.616099
4724.5,58.97299957,103.0819016,62.66880035,1,0.079498678,23.04540062,2.483200312,0.5528639,0.15586701,0.3561518
4725,62.27669907,86.23529816,54.61330032,1,0.064912841,48.33259964,2.504199982,0.4753583,0.108957008,0.2737592
4725.5,62.95729828,95.83699799,63.17490006,1,0.059972864,99.98989868,2.505300045,0.3379046,0.113008,0.3129233
4726,63.50929642,90.09190369,61.60990143,1,0.060893204,71.5483017,2.515000105,0.3885686,0.126445994,0.3313151
4726.5,60.4280014,98.21920013,52.31779862,1,0.074683815,69.93070221,2.485100031,0.3586956,0.114122003,0.2602462
4727,60.85829926,120.0354996,53.0401001,1,0.122354001,90.39820099,2.349900007,0.2179321,0.122354001,0.1910068
4727.5,56.8105011,105.1144104,48.96070099,1,0.075168401,103.8756027,2.492199898,0.2931871,0.119199,0.2586737
4728,68.92639923,125.2093964,48.49950028,1,0.098368242,190.6665039,2.443100214,0.1745757,0.137730002,0.252065
4728.5,63.165905,97.94229889,34.85689926,1,0.10309159,505.3125916,2.453700066,0.1061779,0.138385996,0.207025
4729,68.33049774,101.4695969,42.35469818,1,0.095214859,375.978302,2.442399979,0.1354233,0.095441997,0.1699902
4729.5,65.66840363,105.0117035,45.9056015,1,0.056530479,128.8609924,2.538399935,0.3284328,0.105599001,0.2567355
4730,66.96700287,111.0411987,44.57550049,1,0.118962035,63.66659927,2.400599957,0.2634836,0.136480004,0.2090695
4730.5,69.01450348,96.70330048,18.62969971,1,0.10645844,100.990799,2.468899965,0.23993,0.134642005,0.1488429
4731,57.48680115,89.76580048,12.28950024,1,0.091812,274.9104919,2.373600006,0.1846581,0.091812,0.00880577
4731.5,64.3565979,105.4330978,15.82719994,1,0.077460997,187.0350037,2.47300005,0.2529973,0.077460997,0.06215119
4732,65.08860016,128.0776062,26.06480026,1,0.074150957,56.11869812,2.531800032,0.427204,0.117018007,0.1920222
4732.5,80.27960205,151.1316071,28.16670036,1,0.042727347,19.63050079,2.663399935,0.8986486,0.183521003,0.3724249
4733,76.8381958,146.9665985,19.56439972,0,0,4.629899979,2.916500092,1,0.456869006,1
4733.5,74.18280029,147.7987061,24.86759949,0,0,4.11619997,2.897000074,1,0.526358962,1
4734,72.26999664,140.7084961,20.3470993,0,0,4.293300152,2.84800005,1,0.516196013,1
4734.5,76.90880585,149.7102051,19.36440086,0,0,4.006400108,2.739000082,1,0.510879993,1
4735,77.94330597,149.1040955,22.24900055,0,0,3.22420001,2.625799894,1,0.509045959,1
4735.5,72.69419861,142.5960999,23.42860031,0,0,2.677000046,2.703999996,1,0.504163027,1
4736,71.44719696,142.4597015,24.35810089,0,0,2.59739995,2.825000048,1,0.493764013,1
4736.5,84.27919769,163.2478943,27.4734993,0,0,2.425699949,2.849900007,1,0.476624996,1
4737,84.40599823,166.5670929,33.55870056,0,0,2.033299923,2.830199957,1,0.501357973,1
4737.5,86.4240036,165.7662964,38.57009888,0,0,1.921499968,2.713099957,1,0.461859018,1
4738,82.47789002,155.9810028,40.22660065,0,0,1.90929997,2.738600016,1,0.473324001,1
4738.5,82.05599976,161.2046051,42.71889877,0,0,2.019099951,2.778899908,1,0.402629018,1
4739,78.79309082,141.2021942,40.59899902,0,0,2.752199888,2.701100111,1,0.350511015,0.9813404
4739.5,56.81240082,111.8443985,20.86300087,0,0,8.322699547,2.743299961,1,0.276427001,0.8595424
4740,52.77209854,104.1043015,11.6505003,0,0,37.82580185,2.734699965,1,0.195358008,0.6529499
4740.5,58.50900269,104.0133896,9.656999588,0,0,40.99909973,2.738899946,1,0.199932993,0.6695799
4741,57.16220093,104.3146057,21.54899979,0,0,28.89170075,2.772699833,1,0.228087008,0.7825639
4741.5,58.88080216,106.2916031,17.56369972,0,0,15.82120037,2.743700028,1,0.255066007,0.8086751
