DEPT,ECGR,RD,DTCO,DTSM,RHOB,TNPH,DTSM_predict
4925,151.6654053,2.967700005,80.39060211,152.1094055,2.357300043,0.225799993,144.07
4925.5,154.0894013,3.073400021,81.34770203,151.832901,2.712500095,0.205400005,146.10
4926,158.8715057,3.262599945,81.03520203,151.5368042,2.679199934,0.212199986,147.24
4926.5,158.2559967,3.412400007,81.25,154.912384,2.711400032,0.218199998,147.33
4927,154.096695,3.526900053,79.95120239,155.6746979,2.704699993,0.212900013,146.64
4927.5,170.3368073,3.423899889,81.75779724,156.5361176,2.663300037,0.209500015,147.89
4928,172.2875061,3.265799999,79.37500763,156.2353821,2.704699993,0.211200014,145.97
4928.5,168.5137024,3.006200075,78.70120239,149.7774048,2.693000078,0.205799997,144.11
4929,172.7427063,4.767399788,80.02929688,148.3361969,2.625200033,0.203299999,142.43
4929.5,151.5287933,3.027299881,79.96089935,151.7971039,2.640599966,0.219799995,145.72
4930,76.84519959,3.152499914,81.59179688,149.2765961,2.644500017,0.191499993,143.85
4930.5,79.08119965,5.157800198,82.33399963,155.9960938,2.686399937,0.143199995,143.88
4931,116.0095978,7.956299782,68.22270203,145.6150055,2.740600109,0.112799995,119.63
4931.5,116.9353027,4.228199959,72.84179688,126.0818024,2.723400116,0.164200008,132.18
4932,57.20190048,2.992799997,80.52729797,134.7610016,2.718800068,0.166800007,141.93
4932.5,55.88710022,15.31140041,69.24810028,145.0493927,2.619299889,0.090500005,111.08
4933,60.03509903,37.93930054,57.43159485,113.1903,2.675800085,0.073399998,96.84
4933.5,62.98009872,33.14410019,57.17770004,106.562294,2.646500111,0.0748,96.02
4934,56.49280167,28.61359978,59.89260101,108.9347992,2.616300106,0.079300001,96.90
4934.5,41.47240067,51.88869858,57.5780983,112.0075989,2.683300018,0.078500003,95.38
4935,63.35419846,45.35229874,55,104.8053055,2.672899962,0.07,96.01
4935.5,62.02569962,21.57229996,57.55860138,104.5371018,2.638999939,0.0748,96.52
4936,56.96789932,26.49209976,59.02339935,109.8728027,2.641900063,0.077299997,96.21
4936.5,94.10749817,33.04290009,58.2030983,109.1623001,2.713799954,0.075900003,97.85
4937,55.10729981,9.475600243,65.41020203,104.6125031,2.682399988,0.102200002,106.96
4937.5,51.42959976,8.431799889,65.45899963,118.0836029,2.683300018,0.106000006,106.68
4938,98.11930084,7.843299866,63.38869858,123.2553024,2.823299885,0.091899999,108.45
4938.5,138.6004028,2.698199987,78.50589752,112.6279984,2.640700102,0.149499998,140.88
4939,137.0345001,2.727400065,78.00779724,137.5538025,2.669800043,0.16870001,142.01
4939.5,150.0453949,2.76609993,77.5,138.3161011,2.684499979,0.167500004,142.33
4940,119.5054016,2.372100115,79.34570313,134.9535065,2.634799957,0.180200011,144.54
4940.5,95.69730377,2.360500097,77.46089935,142.1092987,2.674799919,0.19129999,142.09
4941,97.53130341,2.305099964,75.25389862,135.0372925,2.737200022,0.19780001,139.36
4941.5,93.72019959,1.795799971,76.96289825,130.8368073,2.815099955,0.210400015,145.76
4942,82.03209686,1.408200026,77.79299164,139.295105,2.840699911,0.215800002,147.55
4942.5,32.95149994,1.368399978,73.75,132.3955994,2.873300076,0.184599996,132.19
4943,10.57470036,3.132499933,66.06439972,122.8156967,2.779700041,0.101700001,105.07
4943.5,50.89670181,32.16650009,62.5780983,102.3376007,2.61590004,0.044699997,99.25
4944,36.9654007,708.7235718,66.01560211,96.04540253,2.457000017,0.0352,100.00
4944.5,48.48749924,73.86969757,67.99810028,103.6981964,2.512099981,0.058200002,103.13
4945,16.61219978,123.5254974,65.88870239,108.4138031,2.574100018,0.054699998,99.46
4945.5,12.9222002,314.8898926,64.13089752,102.0455017,2.558500052,0.047699999,97.28
4946,10.39379978,905.8236084,62.34379578,102.6717072,2.511300087,0.042300001,96.34
4946.5,8.894800186,1238.436279,65.44920349,100.3666,2.422600031,0.033800002,98.21
4947,8.140500069,1950,64.17970276,101.1108017,2.395699978,0.0274,99.04
4947.5,8.354399681,1950,66.50389862,103.3330994,2.338700056,0.025899999,101.35
4948,7.962800026,980.3668823,66.51370239,101.9490967,2.344899893,0.025899999,101.47
4948.5,7.782999992,738.6403809,67.06060028,105.7911987,2.378299952,0.029000001,99.85
4949,8.881099701,553.4274902,67.04100037,104.9518967,2.350800037,0.0255,101.63
4949.5,10.18379974,724.0349731,66.53320313,103.0249023,2.375400066,0.026800001,99.97
4950,9.385800362,871.5734253,65.66410065,101.5500031,2.397699833,0.0286,98.74
4950.5,9.727899551,792.3306274,65.53710175,104.7108994,2.385699987,0.030299999,99.08
4951,10.93939972,1939.22876,66.09380341,101.0577011,2.374900103,0.029200001,99.96
4951.5,12.74440002,244.6862946,63.43750382,101.6978989,2.426399946,0.033099998,97.38
4952,10.82590008,72.29350281,63.13480377,100.1155014,2.452399969,0.0416,97.40
4952.5,8.986800194,34.13209915,63.0469017,100.0874023,2.49029994,0.0583,97.00
4953,31.69219971,27.59539986,67.26560211,103.5323944,2.482899904,0.0726,100.89
4953.5,77.84020233,8.003100395,58.9844017,100.3420029,2.642199993,0.094300002,102.19
4954,50.40319824,24.22270012,69.33589935,115.1022949,2.593600035,0.102600001,107.41
